scenario_geography_name,standardized_geography_name
Advanced economies,Advanced economies
Africa,Africa
Asia Pacific,Asia Pacific
Brazil,Brazil
Central and South America,Central and South America
China,China
Emerging market and developing economies,Emerging market and developing economies
Eurasia,Eurasia
Europe,Europe
European Union,European Union
Global,Global
India,India
Japan,Japan
Middle East,Middle East
Non-OECD,Non-OECD
North America,North America
OECD,OECD
Russia,Russia
Southeast Asia,Southeast Asia
United States,United States
World,Global
